Vertices,Alpha(g),Number Of Roots,Number Of Max Points,Number Of Min Points,Polynomial,Degree Array,Max Deg
10,13,2,2,2,1 + 20*X + 166X^2 + 765X^3 + 2203X^4 + 4228X^5 + 5635X^6 + 5363X^7 + 3709X^8 + 1874X^9 + 683X^10 + 172X^11 + 27X^12 + 2X^13,[ 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 3 3 3 5 ],5
10,17,5,1,2,1 + 20*X + 168X^2 + 847X^3 + 2964X^4 + 7724X^5 + 15531X^6 + 24545X^7 + 30782X^8 + 30754X^9 + 24454X^10 + 15379X^11 + 7553X^12 + 2835X^13 + 785X^14 + 151X^15 + 18X^16 + X^17,[ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 7 10 ],10
10,13,3,1,1,1 + 20*X + 171X^2 + 816X^3 + 2422X^4 + 4759X^5 + 6453X^6 + 6234X^7 + 4362X^8 + 2214X^9 + 799X^10 + 195X^11 + 29X^12 + 2X^13,[ 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 3 3 4 4 ],4
10,13,2,2,1,1 + 20*X + 169X^2 + 804X^3 + 2417X^4 + 4879X^5 + 6859X^6 + 6874X^7 + 4973X^8 + 2589X^9 + 944X^10 + 227X^11 + 32X^12 + 2X^13,[ 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 4 6 ],6
10,17,1,1,1,1 + 20*X + 170X^2 + 843X^3 + 2835X^4 + 7053X^5 + 13567X^6 + 20673X^7 + 25259X^8 + 24859X^9 + 19679X^10 + 12443X^11 + 6200X^12 + 2381X^13 + 680X^14 + 136X^15 + 17X^16 + X^17,[ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 5 7 7 ],7
10,12,1,1,3,1 + 20*X + 168X^2 + 791X^3 + 2343X^4 + 4636X^5 + 6338X^6 + 6095X^7 + 4147X^8 + 1980X^9 + 641X^10 + 128X^11 + 12X^12,[ 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 3 4 5 ],5
10,12,3,1,3,1 + 20*X + 169X^2 + 802X^3 + 2396X^4 + 4776X^5 + 6546X^6 + 6238X^7 + 4107X^8 + 1816X^9 + 505X^10 + 76X^11 + 4X^12,[ 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 4 5 ],5
10,16,2,1,10,1 + 20*X + 169X^2 + 827X^3 + 2690X^4 + 6285X^5 + 11058X^6 + 15069X^7 + 16143X^8 + 13670X^9 + 9136X^10 + 4778X^11 + 1921X^12 + 575X^13 + 121X^14 + 16X^15 + X^16,[ 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 3 3 5 8 ],8
10,15,2,1,1,1 + 20*X + 170X^2 + 823X^3 + 2570X^4 + 5557X^5 + 8720X^6 + 10271X^7 + 9300X^8 + 6560X^9 + 3607X^10 + 1525X^11 + 481X^12 + 107X^13 + 15X^14 + X^15,[ 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 3 3 4 4 5 ],5
10,15,1,1,1,1 + 20*X + 171X^2 + 831X^3 + 2597X^4 + 5637X^5 + 8992X^6 + 10880X^7 + 10162X^8 + 7366X^9 + 4122X^10 + 1752X^11 + 548X^12 + 119X^13 + 16X^14 + X^15,[ 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 3 4 5 5 ],5
10,16,0,1,2,1 + 20*X + 171X^2 + 838X^3 + 2698X^4 + 6214X^5 + 10792X^6 + 14556X^7 + 15514X^8 + 13155X^9 + 8854X^10 + 4678X^11 + 1900X^12 + 573X^13 + 121X^14 + 16X^15 + X^16,[ 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 3 5 5 6 ],6
10,16,3,1,2,1 + 20*X + 170X^2 + 833X^3 + 2706X^4 + 6308X^5 + 11071X^6 + 15056X^7 + 16113X^8 + 13647X^9 + 9128X^10 + 4777X^11 + 1921X^12 + 575X^13 + 121X^14 + 16X^15 + X^16,[ 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 3 3 6 7 ],7
10,17,1,2,2,1 + 20*X + 171X^2 + 861X^3 + 2955X^4 + 7493X^5 + 14547X^6 + 22151X^7 + 26847X^8 + 26100X^9 + 20384X^10 + 12728X^11 + 6278X^12 + 2394X^13 + 681X^14 + 136X^15 + 17X^16 + X^17,[ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 4 5 10 ],10
10,18,2,0,1,1 + 20*X + 171X^2 + 892X^3 + 3290X^4 + 9068X^5 + 19357X^6 + 32748X^7 + 44550X^8 + 49115X^9 + 43978X^10 + 31890X^11 + 18576X^12 + 8569X^13 + 3060X^14 + 816X^15 + 153X^16 + 18X^17 + X^18,[ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 6 13 ],13
10,14,3,2,4,1 + 20*X + 169X^2 + 805X^3 + 2429X^4 + 4953X^5 + 7116X^6 + 7418X^7 + 5730X^8 + 3321X^9 + 1445X^10 + 464X^11 + 105X^12 + 15X^13 + X^14,[ 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 3 3 3 3 5 ],5
